Unit No.,Unit Name,Chapter Number,Chapter Name,Lesson Number,Lesson Name
1,Number Systems,1,Real Numbers,1,Introduction to Real Numbers
1,Number Systems,1,Real Numbers,2,Fundamental Theorem of Arithmetic - Statements and Examples
1,Number Systems,1,Real Numbers,3,Proofs of Irrationality of √2, √3, √5
1,Number Systems,1,Real Numbers,4,Advanced Irrationality Proofs (3 + 2√5 etc.)
1,Number Systems,1,Real Numbers,5,Real Numbers Practice Problems
2,Algebra,2,Polynomials,7,Introduction to Polynomials
2,Algebra,2,Polynomials,8,Zeros of a Polynomial
2,Algebra,2,Polynomials,9,Relationship between Zeros and Coefficients of Quadratic Polynomials
2,Algebra,2,Polynomials,10,Graphical and Algebraic Methods for Finding Zeros
2,Algebra,2,Polynomials,11,Polynomials Practice Problems
2,Algebra,3,Pair of Linear Equations,12,Introduction to Pair of Linear Equations in Two Variables
2,Algebra,3,Pair of Linear Equations,13,Graphical Method and Consistency/Inconsistency
2,Algebra,3,Pair of Linear Equations,14,Algebraic Conditions for Number of Solutions
2,Algebra,3,Pair of Linear Equations,15,Solution by Substitution Method
2,Algebra,3,Pair of Linear Equations,16,Solution by Elimination Method
2,Algebra,3,Pair of Linear Equations,17,Simple Situational Problems
2,Algebra,3,Pair of Linear Equations,18,Linear Equations Practice Problems
2,Algebra,4,Quadratic Equations,19,Introduction to Quadratic Equations
2,Algebra,4,Quadratic Equations,20,Standard Form of Quadratic Equation (ax² + bx + c = 0)
2,Algebra,4,Quadratic Equations,21,Solution by Factorization Method
2,Algebra,4,Quadratic Equations,22,Quadratic Formula
2,Algebra,4,Quadratic Equations,23,Discriminant and Nature of Roots
2,Algebra,4,Quadratic Equations,24,Situational Problems Based on Quadratic Equations
2,Algebra,4,Quadratic Equations,25,Quadratic Equations Practice Problems
2,Algebra,5,Arithmetic Progressions,26,Introduction to Arithmetic Progressions
2,Algebra,5,Arithmetic Progressions,27,Motivation for Studying Arithmetic Progression
2,Algebra,5,Arithmetic Progressions,28,Derivation of nth Term of AP
2,Algebra,5,Arithmetic Progressions,29,Derivation of Sum of First n Terms of AP
2,Algebra,5,Arithmetic Progressions,30,Application of AP in Daily Life Problems
2,Algebra,5,Arithmetic Progressions,31,AP Practice Problems
3,Coordinate Geometry,6,Coordinate Geometry,32,Introduction to Coordinate Geometry
